#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
RPB2	RPB7	634676	630265	4932.YOR151C	4932.YDR404C	0	0	0	0	0.042	0.999	0.900	0.932	0.999
ACC1	FAS1	634270	632646	4932.YNR016C	4932.YKL182W	0.571	0	0	0	0.997	0.079	0.965	0.839	0.999
RPB4	RPB3	632192	631829	4932.YJL140W	4932.YIL021W	0	0	0	0	0.069	0.999	0.900	0.927	0.999
RPB8	RPB4	634756	632192	4932.YOR224C	4932.YJL140W	0	0	0	0	0.112	0.997	0.900	0.930	0.999
RPB10	RPC25	634742	632605	4932.YOR210W	4932.YKL144C	0	0	0	0	0.185	0.994	0.900	0.712	0.999
RPA190	RPB8	634880	634756	4932.YOR341W	4932.YOR224C	0	0	0	0	0.141	0.997	0.900	0.599	0.999
RPC40	RET1	635350	634739	4932.YPR110C	4932.YOR207C	0.321	0	0	0	0.675	0.997	0.925	0.525	0.999
RPB4	RPB5	632192	629214	4932.YJL140W	4932.YBR154C	0	0	0	0	0.087	0.997	0.900	0.898	0.999
RPC10	RPO21	631710	629709	4932.YHR143W-A	4932.YDL140C	0	0	0	0	0	0.998	0.900	0.904	0.999
RPB8	RPA12	634756	632346	4932.YOR224C	4932.YJR063W	0	0	0	0	0.780	0.994	0.900	0.745	0.999
RPO26	RPB8	635441	634756	4932.YPR187W	4932.YOR224C	0	0	0	0	0.500	0.999	0.900	0.970	0.999
FAS1	CEM1	632646	630580	4932.YKL182W	4932.YER061C	0.486	0	0	0	0.978	0	0.965	0.555	0.999
RPO31	RPC19	634639	634016	4932.YOR116C	4932.YNL113W	0.045	0	0	0	0.151	0.996	0.923	0.793	0.999
RPB2	RPB4	634676	632192	4932.YOR151C	4932.YJL140W	0	0	0	0	0	0.997	0.900	0.934	0.999
FAS2	ACC1	635179	634270	4932.YPL231W	4932.YNR016C	0.571	0	0	0	0.988	0.145	0.667	0.848	0.999
RPB8	RPB11	634756	634339	4932.YOR224C	4932.YOL005C	0	0	0	0	0.475	0.997	0.900	0.903	0.999
RPO26	RPB11	635441	634339	4932.YPR187W	4932.YOL005C	0	0	0	0	0.536	0.997	0.900	0.930	0.999
RPA190	RPB10	634880	634742	4932.YOR341W	4932.YOR210W	0.048	0	0	0	0.056	0.997	0.900	0.604	0.999
RPA190	RPB2	634880	634676	4932.YOR341W	4932.YOR151C	0.321	0	0	0	0.983	0.828	0.273	0.714	0.999
RPC10	RPB9	631710	630960	4932.YHR143W-A	4932.YGL070C	0	0	0	0	0.258	0.997	0.900	0.860	0.999
RPB10	RPC19	634742	634016	4932.YOR210W	4932.YNL113W	0	0	0	0	0.482	0.997	0.900	0.900	0.999
RPB2	RPB11	634676	634339	4932.YOR151C	4932.YOL005C	0.043	0	0	0	0.083	0.999	0.923	0.871	0.999
MET16	MET14	635418	632450	4932.YPR167C	4932.YKL001C	0.321	0.802	0	0	0.945	0.709	0.959	0.869	0.999
